timestamp	rpm_diesel	power_generator	poz_kont_sec
1575816213	709	1330	11
1575816216	708	1326	11
1575816219	708	1327	11
1575816222	709	1320	11
1575816225	710	1071	11
1575816228	693	1111	10
1575816231	671	1071	9
1575816234	644	1022	9
1575816237	623	886	8
1575816240	597	803	8
1575816243	591	734	7
1575816246	568	546	7
1575816249	551	436	7
1575816252	518	460	5
1575816255	495	323	5
1575816258	466	301	4
1575816261	453	113	5
1575816264	435	33	1
1575816267	409	28	1
1575816270	374	3	0
1575816273	346	5	1
1575816276	339	0	1
1575816279	345	0	0
1575816282	347	0	0
1575816285	348	0	0
1575816288	348	0	0
1575816291	347	0	0
1575816294	348	0	0
1575816297	348	0	0
1575816300	348	0	0
1575816303	348	0	0
1575816306	348	0	0
1575816309	348	0	0
1575816312	348	0	0
1575816315	348	0	0
1575816318	348	0	0
1575816321	348	0	0
1575816324	348	0	0
1575816327	348	0	0
1575816330	347	0	0
1575816333	348	0	0
1575816336	348	0	0
1575816339	348	0	0
1575816342	348	0	0
1575816345	348	0	0
1575816348	348	0	0
1575816351	348	0	0
1575816354	348	0	0
1575816357	348	0	0
1575816360	348	0	0
1575816363	348	0	0
1575816366	348	0	0
1575816369	348	0	0
1575816372	348	0	0
1575816375	348	0	0
1575816378	348	0	0
1575816381	348	0	0
1575816384	346	0	0
1575816387	345	0	0
1575816390	346	0	0
1575816393	346	0	0
1575816396	348	0	0
1575816399	348	0	0
1575816402	348	0	0
1575816405	348	0	0
1575816408	348	0	0
1575816411	348	0	0
1575816414	349	0	0
1575816417	349	0	0
1575816420	349	0	0
1575816423	348	0	0
1575816426	348	0	0
1575816429	348	0	0
1575816432	348	0	0
1575816435	348	0	0
1575816438	348	0	0
1575816441	348	0	0
1575816444	348	0	0
1575816447	348	0	0
1575816450	348	0	0
1575816453	348	0	0
1575816456	348	0	0
1575816459	348	0	0
1575816462	348	0	0
1575816465	348	0	0
1575816468	348	0	0
1575816471	348	0	0
1575816474	348	0	0
1575816477	348	0	0
1575816480	348	0	0
1575816483	348	0	0
1575816486	348	0	0
1575816489	348	0	0
1575816492	348	0	0
1575816495	348	0	0
1575816498	348	0	0
1575816501	348	0	0
1575816504	348	0	0
1575816507	348	0	0
1575816510	348	0	0
1575816513	348	0	0
1575816516	348	0	0
1575816519	348	0	0
1575816522	348	0	0
1575816525	348	0	0
1575816528	348	0	0
1575816531	348	0	0
1575816534	348	0	0
1575816537	348	0	0
1575816540	348	0	0
1575816543	348	0	0
1575816546	348	0	0
1575816549	348	0	0
1575816552	348	0	0
1575816555	348	0	0
1575816558	348	0	0
1575816561	349	0	0
1575816564	349	0	0
1575816567	348	0	0
1575816570	348	0	0
1575816573	348	0	0
1575816576	348	0	0
1575816579	348	0	0
1575816582	348	0	0
1575816585	348	0	0
1575816588	348	0	0
1575816591	348	0	0
1575816594	348	0	0
1575816597	348	0	0
1575816600	348	0	0
1575816603	348	0	0
1575816606	348	0	0
1575816609	348	0	0
1575816612	348	0	0
1575816615	348	0	0
1575816618	348	0	0
1575816621	348	0	0
1575816624	348	0	0
1575816627	348	0	0
1575816630	348	0	0
1575816633	348	0	0
1575816636	348	0	0
1575816639	348	0	0
1575816642	348	0	0
1575816645	348	0	0
1575816648	348	0	0
1575816651	348	0	0
1575816654	348	0	0
1575816657	348	0	0
1575816660	348	0	0
1575816663	348	0	0
1575816666	348	0	0
1575816669	348	0	0
1575816672	348	0	0
1575816675	348	0	0
1575816678	348	0	0
1575816681	348	0	0
1575816684	348	0	0
1575816687	348	0	0
1575816690	348	0	0
1575816693	348	0	0
1575816696	348	0	0
1575816699	348	0	0
1575816702	348	0	0
1575816705	348	0	0
1575816708	348	0	0
1575816711	348	0	0
1575816714	348	0	0
1575816717	348	0	0
1575816720	348	0	0
1575816723	348	0	0
1575816726	348	0	0
1575816729	348	0	0
1575816732	348	0	0
1575816735	348	0	0
1575816738	348	0	0
1575816741	348	0	0
1575816744	348	0	0
1575816747	348	0	0
1575816750	348	0	0
1575816753	348	0	0
1575816756	348	0	0
1575816759	348	0	0
1575816762	348	0	0
1575816765	348	0	0
1575816768	348	0	0
1575816771	348	0	0
1575816774	348	0	0
1575816777	348	0	0
1575816780	348	0	0
1575816783	348	0	0
1575816786	348	0	0
1575816789	348	0	0
1575816792	348	0	0
1575816795	348	0	0
1575816798	348	0	0
1575816801	348	0	0
1575816804	348	0	0
1575816807	348	0	1
1575816810	348	38	1
1575816813	346	57	3
1575816816	353	109	2
1575816819	361	134	3
1575816822	381	194	3
1575816825	395	199	5
